,kr_price,us_price,exchange_rate,import_vol,stock,import_vol_mom,import_vol_yoy,stock_mom,stock_yoy,stock_ma_3,margin_spread,us_price_lag_1,exchange_rate_lag_1,us_price_lag_2,exchange_rate_lag_2,us_price_lag_3,exchange_rate_lag_3,kr_price_lead_1,kr_price_lead_2,kr_price_lead_3,kr_price_lead_4,kr_price_lead_5,kr_price_lead_6,kr_price_max_6m,target_max_diff_6m
2022-05-01,4404.0,14.71083969072165,1269.357142857143,10957.0,85929.0,0.12252842946419418,0.29209905660377355,0.0640439838032616,0.5786195873826538,80831.33333333333,-14269.309438843891,15.627779329608938,1236.5238095238096,15.003203398058252,1222.7857142857142,15.66841461988304,1198.4444444444443,4379.0,4277.0,4284.0,4271.0,4340.0,4232.0,4379.0,-25.0
2022-06-01,4379.0,14.466209389671361,1283.725,10471.0,93145.0,-0.044355206717167084,0.16629538872800187,0.08397630602008643,0.6905639145507014,86610.33333333333,-14191.634648755866,14.71083969072165,1269.357142857143,15.627779329608938,1236.5238095238096,15.003203398058252,1222.7857142857142,4277.0,4284.0,4271.0,4340.0,4232.0,4139.0,4340.0,-39.0
2022-07-01,4277.0,13.971060893854748,1309.2857142857142,11806.0,98772.0,0.12749498615222987,0.22481585226683265,0.06041118685919811,0.7294136186157267,92615.33333333333,-14015.110441739824,14.466209389671361,1283.725,14.71083969072165,1269.357142857143,15.627779329608938,1236.5238095238096,4284.0,4271.0,4340.0,4232.0,4139.0,4098.0,4340.0,63.0
2022-08-01,4284.0,14.770972727272728,1323.0681818181818,9500.0,11645.0,-0.19532441131627987,0.034745670406273854,-0.882102215202689,-0.8024127867517307,67854.0,-15259.004029958676,13.971060893854748,1309.2857142857142,14.466209389671361,1283.725,14.71083969072165,1269.357142857143,4271.0,4340.0,4232.0,4139.0,4098.0,3905.0,4340.0,56.0
2022-09-01,4271.0,14.229660103626943,1399.5,10214.0,95454.0,0.07515789473684209,0.21450653983353152,7.196994418205238,0.6056451748557587,68623.66666666667,-15643.409315025907,14.770972727272728,1323.0681818181818,13.971060893854748,1309.2857142857142,14.466209389671361,1283.725,4340.0,4232.0,4139.0,4098.0,3905.0,3689.0,4340.0,69.0
2022-10-01,4340.0,14.12741818181818,1430.4473684210527,9498.0,96340.0,-0.0700998629332289,-0.15670780431501374,0.009281957801663632,0.5427976619425094,67813.0,-15868.528160765549,14.229660103626943,1399.5,14.770972727272728,1323.0681818181818,13.971060893854748,1309.2857142857142,4232.0,4139.0,4098.0,3905.0,3689.0,3712.0,4232.0,-108.0
2022-11-01,4232.0,15.455232804232805,1359.4772727272727,10545.0,97931.0,0.1102337334175616,0.21304497871850914,0.016514428067261777,0.5187339102385162,96575.0,-16779.037742063494,14.12741818181818,1430.4473684210527,14.229660103626943,1399.5,14.770972727272728,1323.0681818181818,4139.0,4098.0,3905.0,3689.0,3712.0,3734.0,4139.0,-93.0
2022-12-01,4139.0,16.85856212121212,1296.25,10638.0,99140.0,0.008819345661450928,0.2338204592901878,0.012345426882192534,0.463774749368808,97803.66666666667,-17713.91114962121,15.455232804232805,1359.4772727272727,14.12741818181818,1430.4473684210527,14.229660103626943,1399.5,4098.0,3905.0,3689.0,3712.0,3734.0,3620.0,4098.0,-41.0
2023-01-01,4098.0,15.828660209424084,1247.45,7854.0,94080.0,-0.2617033276931754,-0.0022865853658536883,-0.05103893483962074,0.42078318256641034,97050.33333333333,-15647.462178246074,16.85856212121212,1296.25,15.455232804232805,1359.4772727272727,14.12741818181818,1430.4473684210527,3905.0,3689.0,3712.0,3734.0,3620.0,3884.0,3905.0,-193.0
2023-02-01,3905.0,15.918637433155078,1280.45,8665.0,95027.0,0.1032594856124267,-0.06506258092360806,0.010065901360544194,0.3359811047533354,96082.33333333333,-16478.01930128342,15.828660209424084,1247.45,16.85856212121212,1296.25,15.455232804232805,1359.4772727272727,3689.0,3712.0,3734.0,3620.0,3884.0,4023.0,4023.0,118.0
2023-03-01,3689.0,16.501799014778324,1307.2954545454545,10696.0,96504.0,0.23439122908251586,0.10839378238341979,0.015542950950782508,0.2730054875474883,95203.66666666667,-17883.726843842363,15.918637433155078,1280.45,15.828660209424084,1247.45,16.85856212121212,1296.25,3712.0,3734.0,3620.0,3884.0,4023.0,3957.0,4023.0,334.0
2023-04-01,3712.0,16.522161714285712,1324.425,9396.0,98772.0,-0.12154076290201943,-0.03739370966089539,0.023501616513305068,0.22307663731936556,96767.66666666667,-18170.364028442855,16.501799014778324,1307.2954545454545,15.918637433155078,1280.45,15.828660209424084,1247.45,3734.0,3620.0,3884.0,4023.0,3957.0,4038.0,4038.0,326.0
2023-05-01,3734.0,15.517436815920398,1330.15,9569.0,51180.0,0.018412090251170632,-0.12667701013051014,-0.4818369578423035,-0.40439199804489756,82152.0,-16906.51858069652,16.522161714285712,1324.425,16.501799014778324,1307.2954545454545,15.918637433155078,1280.45,3620.0,3884.0,4023.0,3957.0,4038.0,4128.0,4128.0,394.0
2023-06-01,3620.0,16.882767156862744,1298.1904761904761,8025.0,51651.0,-0.16135437349775317,-0.2335975551523255,0.009202813599062054,-0.44547748134628806,67201.0,-18297.047534780577,15.517436815920398,1330.15,16.522161714285712,1324.425,16.501799014778324,1307.2954545454545,3884.0,4023.0,3957.0,4038.0,4128.0,4150.0,4150.0,530.0
2023-07-01,3884.0,16.007245263157895,1285.095238095238,8860.0,49629.0,0.10404984423676011,-0.24953413518549894,-0.03914735435906369,-0.4975397886040578,50820.0,-16686.834662706766,16.882767156862744,1298.1904761904761,15.517436815920398,1330.15,16.522161714285712,1324.425,4023.0,3957.0,4038.0,4128.0,4150.0,4054.0,4150.0,266.0
2023-08-01,4023.0,17.38055369458128,1324.0,8691.0,46971.0,-0.01907449209932277,-0.0851578947368421,-0.053557395877410374,3.033576642335767,49417.0,-18988.853091625617,16.007245263157895,1285.095238095238,16.882767156862744,1298.1904761904761,15.517436815920398,1330.15,3957.0,4038.0,4128.0,4150.0,4054.0,4107.0,4150.0,127.0
2023-09-01,3957.0,18.158162295081965,1334.3157894736842,7506.0,44065.0,-0.13634794615119084,-0.26512629723908365,-0.06186796108237003,-0.538364028746831,46888.333333333336,-20271.722658153576,17.38055369458128,1324.0,16.007245263157895,1285.095238095238,16.882767156862744,1298.1904761904761,4038.0,4128.0,4150.0,4054.0,4107.0,4174.0,4174.0,217.0
2023-10-01,4038.0,18.33236923076923,1352.1315789473683,9117.0,43228.0,0.2146282973621103,-0.04011370814908399,-0.018994666969250007,-0.5512974880631099,44754.666666666664,-20749.77535384615,18.158162295081965,1334.3157894736842,17.38055369458128,1324.0,16.007245263157895,1285.095238095238,4128.0,4150.0,4054.0,4107.0,4174.0,3982.0,4174.0,136.0
2023-11-01,4128.0,18.732314659685866,1307.7954545454545,8748.0,42120.0,-0.04047384007897337,-0.1704125177809388,-0.02563153511612848,-0.5699012570074848,43137.666666666664,-20370.035965052357,18.33236923076923,1352.1315789473683,18.158162295081965,1334.3157894736842,17.38055369458128,1324.0,4150.0,4054.0,4107.0,4174.0,3982.0,4049.0,4174.0,46.0
