date,source,grade,sex,market_code,market_name,is_national_total,is_regional_total,price_won_per_kg,head_count
2019-03-01,ekape_auction,D,전체,0714,익산,False,False,3998,11
2019-03-01,ekape_auction,D,전체,0809,농협나주,False,False,3754,40
2019-03-01,ekape_auction,D,전체,0905,농협고령,False,False,4556,29
2019-03-01,ekape_auction,D,전체,1005,김해축공,False,False,5394,20
2019-03-01,ekape_auction,D,전체,1101,제주축협,False,False,5263,2
2019-03-01,ekape_auction,D,전체,1201,신흥산업,False,False,4051,2
2019-03-01,ekape_auction,D,전체,1301,삼성식품,False,False,6076,126
2019-03-01,ekape_auction,D,전체,Center,Center,False,False,5527,145
2019-03-01,ekape_auction,D,전체,City,수도권(권역),False,True,5838,632
2019-03-01,ekape_auction,D,전체,East,영남권(권역),False,True,4874,351
2019-03-01,ekape_auction,D,전체,Tot,전국(전체),True,False,5473,1181
2019-03-01,ekape_auction,D,전체,West,호남권(권역),False,True,3799,51
2019-03-01,ekape_auction,결함제외,전체,0202,부경축공,False,False,15116,2465
2019-03-01,ekape_auction,결함제외,전체,0302,협신식품,False,False,14247,2950
2019-03-01,ekape_auction,결함제외,전체,0320,도드람,False,False,15563,2019
2019-03-01,ekape_auction,결함제외,전체,0323,농협부천,False,False,16418,3285
2019-03-01,ekape_auction,결함제외,전체,0513,농협음성,False,False,17749,7266
2019-03-01,ekape_auction,결함제외,전체,0613,관성,False,False,13607,628
2019-03-01,ekape_auction,결함제외,전체,0714,익산,False,False,13137,64
2019-03-01,ekape_auction,결함제외,전체,0809,농협나주,False,False,15837,570
2019-03-01,ekape_auction,결함제외,전체,0905,농협고령,False,False,17183,1533
2019-03-01,ekape_auction,결함제외,전체,1005,김해축공,False,False,17153,2093
2019-03-01,ekape_auction,결함제외,전체,1101,제주축협,False,False,9421,13
2019-03-01,ekape_auction,결함제외,전체,1201,신흥산업,False,False,13828,171
2019-03-01,ekape_auction,결함제외,전체,1301,삼성식품,False,False,9447,429
2019-03-01,ekape_auction,결함제외,전체,Center,Center,False,False,17476,7894
2019-03-01,ekape_auction,결함제외,전체,City,수도권(권역),False,True,15168,8683
2019-03-01,ekape_auction,결함제외,전체,East,영남권(권역),False,True,16318,6262
2019-03-01,ekape_auction,결함제외,전체,Tot,전국(전체),True,False,16280,23486
2019-03-01,ekape_auction,결함제외,전체,West,호남권(권역),False,True,15607,634
2019-03-01,ekape_auction,등외제외,전체,0202,부경축공,False,False,15744,2501
2019-03-01,ekape_auction,등외제외,전체,0302,협신식품,False,False,14493,2881
2019-03-01,ekape_auction,등외제외,전체,0320,도드람,False,False,16241,1899
2019-03-01,ekape_auction,등외제외,전체,0323,농협부천,False,False,16693,3239
2019-03-01,ekape_auction,등외제외,전체,0513,농협음성,False,False,17755,7484
2019-03-01,ekape_auction,등외제외,전체,0613,관성,False,False,14303,598
2019-03-01,ekape_auction,등외제외,전체,0714,익산,False,False,13627,74
2019-03-01,ekape_auction,등외제외,전체,0809,농협나주,False,False,16294,567
2019-03-01,ekape_auction,등외제외,전체,0905,농협고령,False,False,17128,1619
2019-03-01,ekape_auction,등외제외,전체,1005,김해축공,False,False,17163,2305
2019-03-01,ekape_auction,등외제외,전체,1101,제주축협,False,False,10162,11
2019-03-01,ekape_auction,등외제외,전체,1201,신흥산업,False,False,13634,195
2019-03-01,ekape_auction,등외제외,전체,1301,삼성식품,False,False,10567,345
2019-03-01,ekape_auction,등외제외,전체,Center,Center,False,False,17537,8082
2019-03-01,ekape_auction,등외제외,전체,City,수도권(권역),False,True,15587,8364
2019-03-01,ekape_auction,등외제외,전체,East,영남권(권역),False,True,16529,6620
2019-03-01,ekape_auction,등외제외,전체,Tot,전국(전체),True,False,16536,23718
2019-03-01,ekape_auction,등외제외,전체,West,호남권(권역),False,True,16023,641
2019-03-01,ekape_auction,평균,전체,0202,부경축공,False,False,15028,2801
2019-03-01,ekape_auction,평균,전체,0302,협신식품,False,False,14145,3066
2019-03-01,ekape_auction,평균,전체,0320,도드람,False,False,15548,2074
2019-03-01,ekape_auction,평균,전체,0323,농협부천,False,False,16357,3385
2019-03-01,ekape_auction,평균,전체,0513,농협음성,False,False,17697,7542
2019-03-01,ekape_auction,평균,전체,0613,관성,False,False,13433,685
2019-03-01,ekape_auction,평균,전체,0714,익산,False,False,12755,85
2019-03-01,ekape_auction,평균,전체,0809,농협나주,False,False,15692,607
2019-03-01,ekape_auction,평균,전체,0905,농협고령,False,False,16988,1648
2019-03-01,ekape_auction,평균,전체,1005,김해축공,False,False,17112,2325
2019-03-01,ekape_auction,평균,전체,1101,제주축협,False,False,9421,13
2019-03-01,ekape_auction,평균,전체,1201,신흥산업,False,False,13571,197
2019-03-01,ekape_auction,평균,전체,1301,삼성식품,False,False,9601,471
2019-03-01,ekape_auction,평균,전체,Center,Center,False,False,17402,8227
2019-03-01,ekape_auction,평균,전체,City,수도권(권역),False,True,15090,8996
2019-03-01,ekape_auction,평균,전체,East,영남권(권역),False,True,16188,6971
2019-03-01,ekape_auction,평균,전체,Tot,전국(전체),True,False,16188,24899
2019-03-01,ekape_auction,평균,전체,West,호남권(권역),False,True,15381,692
2019-03-01,ekape_auction,1+,전체,0202,부경축공,False,False,19048,462
2019-03-01,ekape_auction,1+,전체,0302,협신식품,False,False,19279,549
2019-03-01,ekape_auction,1+,전체,0320,도드람,False,False,19688,358
2019-03-01,ekape_auction,1+,전체,0323,농협부천,False,False,19257,967
2019-03-01,ekape_auction,1+,전체,0513,농협음성,False,False,19473,2157
2019-03-01,ekape_auction,1+,전체,0613,관성,False,False,19208,97
2019-03-01,ekape_auction,1+,전체,0714,익산,False,False,17592,10
2019-03-01,ekape_auction,1+,전체,0809,농협나주,False,False,18843,113
2019-03-01,ekape_auction,1+,전체,0905,농협고령,False,False,18877,527
2019-03-01,ekape_auction,1+,전체,1005,김해축공,False,False,19472,511
2019-03-01,ekape_auction,1+,전체,1201,신흥산업,False,False,17502,34
2019-03-01,ekape_auction,1+,전체,1301,삼성식품,False,False,15460,9
2019-03-01,ekape_auction,1+,전체,Center,Center,False,False,19463,2254
2019-03-01,ekape_auction,1+,전체,City,수도권(권역),False,True,19326,1883
2019-03-01,ekape_auction,1+,전체,East,영남권(권역),False,True,19082,1534
2019-03-01,ekape_auction,1+,전체,Tot,전국(전체),True,False,19305,5794
2019-03-01,ekape_auction,1+,전체,West,호남권(권역),False,True,18751,123
2019-03-01,ekape_auction,1,전체,0202,부경축공,False,False,17147,678
2019-03-01,ekape_auction,1,전체,0302,협신식품,False,False,17172,486
2019-03-01,ekape_auction,1,전체,0320,도드람,False,False,17534,553
2019-03-01,ekape_auction,1,전체,0323,농협부천,False,False,17331,713
2019-03-01,ekape_auction,1,전체,0513,농협음성,False,False,17599,2090
2019-03-01,ekape_auction,1,전체,0613,관성,False,False,17722,146
2019-03-01,ekape_auction,1,전체,0714,익산,False,False,16449,21
2019-03-01,ekape_auction,1,전체,0809,농협나주,False,False,16984,174
2019-03-01,ekape_auction,1,전체,0905,농협고령,False,False,17290,500
2019-03-01,ekape_auction,1,전체,1005,김해축공,False,False,17745,575
2019-03-01,ekape_auction,1,전체,1201,신흥산업,False,False,15025,34
2019-03-01,ekape_auction,1,전체,1301,삼성식품,False,False,14026,39
2019-03-01,ekape_auction,1,전체,Center,Center,False,False,17606,2236
2019-03-01,ekape_auction,1,전체,City,수도권(권역),False,True,17273,1791
2019-03-01,ekape_auction,1,전체,East,영남권(권역),False,True,17328,1787
2019-03-01,ekape_auction,1,전체,Tot,전국(전체),True,False,17406,6009
2019-03-01,ekape_auction,1,전체,West,호남권(권역),False,True,16931,195
2019-03-01,ekape_auction,2,전체,0202,부경축공,False,False,14634,552
2019-03-01,ekape_auction,2,전체,0302,협신식품,False,False,12699,543
2019-03-01,ekape_auction,2,전체,0320,도드람,False,False,14422,401
2019-03-01,ekape_auction,2,전체,0323,농협부천,False,False,14124,609
2019-03-01,ekape_auction,2,전체,0513,농협음성,False,False,14386,1466
2019-03-01,ekape_auction,2,전체,0613,관성,False,False,13780,137
2019-03-01,ekape_auction,2,전체,0714,익산,False,False,12639,19
2019-03-01,ekape_auction,2,전체,0809,농협나주,False,False,13856,148
2019-03-01,ekape_auction,2,전체,0905,농협고령,False,False,13683,317
2019-03-01,ekape_auction,2,전체,1005,김해축공,False,False,15146,708
2019-03-01,ekape_auction,2,전체,1101,제주축협,False,False,13369,3
2019-03-01,ekape_auction,2,전체,1201,신흥산업,False,False,12208,82
2019-03-01,ekape_auction,2,전체,1301,삼성식품,False,False,11934,111
2019-03-01,ekape_auction,2,전체,Center,Center,False,False,14342,1603
2019-03-01,ekape_auction,2,전체,City,수도권(권역),False,True,13553,1664
2019-03-01,ekape_auction,2,전체,East,영남권(권역),False,True,14499,1659
2019-03-01,ekape_auction,2,전체,Tot,전국(전체),True,False,14109,5096
2019-03-01,ekape_auction,2,전체,West,호남권(권역),False,True,13726,167
2019-03-01,ekape_auction,3,전체,0202,부경축공,False,False,8895,591
2019-03-01,ekape_auction,3,전체,0302,협신식품,False,False,8928,1018
2019-03-01,ekape_auction,3,전체,0320,도드람,False,False,9351,393
2019-03-01,ekape_auction,3,전체,0323,농협부천,False,False,9259,523
2019-03-01,ekape_auction,3,전체,0513,농협음성,False,False,10321,562
2019-03-01,ekape_auction,3,전체,0613,관성,False,False,7616,190
2019-03-01,ekape_auction,3,전체,0714,익산,False,False,8332,22
2019-03-01,ekape_auction,3,전체,0809,농협나주,False,False,10184,78
2019-03-01,ekape_auction,3,전체,0905,농협고령,False,False,10243,107
2019-03-01,ekape_auction,3,전체,1005,김해축공,False,False,12017,295
2019-03-01,ekape_auction,3,전체,1101,제주축협,False,False,8517,8
2019-03-01,ekape_auction,3,전체,1201,신흥산업,False,False,10639,37
2019-03-01,ekape_auction,3,전체,1301,삼성식품,False,False,8397,182
2019-03-01,ekape_auction,3,전체,Center,Center,False,False,9671,752
2019-03-01,ekape_auction,3,전체,City,수도권(권역),False,True,9036,2116
