week_ending,market_year,commodity_code,commodity_name,country_code,country_name,weekly_exports,outstanding_sales,gross_new_sales,current_my_net_sales,current_my_total_commitment,unit
2020-02-20T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4944,32672,2487,2052,67514,1
2020-02-27T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,20,804,41,35,1701,1
2020-02-27T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4327,30365,2480,2020,69534,1
2020-03-05T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,56,1442,722,694,2395,1
2020-03-05T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4536,30111,4554,4282,73816,1
2020-03-12T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,58,1392,103,8,2403,1
2020-03-12T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4403,33051,7765,7343,81159,1
2020-03-19T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,158,1279,125,45,2448,1
2020-03-19T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4017,36186,7429,7152,88311,1
2020-03-26T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,220,1268,223,209,2657,1
2020-03-26T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4075,37806,5994,5695,94006,1
2020-04-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,240,1365,355,337,2994,1
2020-04-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4609,38725,5867,5528,99534,1
2020-04-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,259,2595,1493,1489,4483,1
2020-04-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4293,39670,5799,5238,104772,1
2020-04-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,207,3827,1477,1439,5922,1
2020-04-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4164,38346,3164,2840,107612,1
2020-04-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,501,4374,1052,1048,6970,1
2020-04-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4605,34927,1899,1186,108798,1
2020-04-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,279,5479,1392,1384,8354,1
2020-04-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3847,31368,936,288,109086,1
2020-05-07T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,97,5540,220,158,8512,1
2020-05-07T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3507,27970,578,109,109195,1
2020-05-14T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,385,5352,205,197,8709,1
2020-05-14T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2691,26266,1226,987,110182,1
2020-05-21T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,228,6685,1591,1561,10270,1
2020-05-21T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3063,28629,5740,5426,115608,1
2020-05-28T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,327,7058,711,700,10970,1
2020-05-28T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2870,30071,4581,4312,119920,1
2020-06-04T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,325,6802,177,69,11039,1
2020-06-04T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3179,34103,7550,7211,127131,1
2020-06-11T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,218,7040,492,456,11495,1
2020-06-11T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2192,40759,9195,8848,135979,1
2020-06-18T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,335,7372,706,667,12162,1
2020-06-18T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5380,43585,8646,8206,144185,1
2020-06-25T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,381,7256,289,265,12427,1
2020-06-25T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4805,41718,3507,2938,147123,1
2020-07-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,220,8015,1021,979,13406,1
2020-07-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5370,38625,2742,2277,149400,1
2020-07-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,238,9274,1530,1497,14903,1
2020-07-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5132,41380,8306,7887,157287,1
2020-07-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,357,9396,489,479,15382,1
2020-07-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5365,40526,4938,4511,161798,1
2020-07-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,331,10416,1367,1351,16733,1
2020-07-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5662,46347,12085,11483,173281,1
2020-07-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,480,10601,997,665,17398,1
