auction_start_ymd,auction_end_ymd,grade_type,grade_cd,grade_nm,breed_cd,breed_nm,sex_cd,sex_nm,qgrade_yn,defect_include_yn,market_code,market_name,is_regional_total,is_national_total,price_won_per_kg,head_count
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,Tot,전국(전체),False,True,17484,16605
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,West,호남권(권역),True,False,17478,577
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0202,부경축공,False,False,14588,1623
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0302,협신식품,False,False,12990,1394
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0320,도드람,False,False,14249,1607
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0323,농협부천,False,False,14168,1632
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0513,농협음성,False,False,14475,2817
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0613,관성,False,False,13944,362
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0714,익산,False,False,14187,48
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0809,농협나주,False,False,14432,349
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,0905,농협고령,False,False,14155,1007
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,1005,김해축공,False,False,15035,2266
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,1101,제주축협,False,False,13853,8
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,1201,신흥산업,False,False,13224,269
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,1301,삼성식품,False,False,12384,334
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,Center,Center,False,False,14419,3179
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,City,수도권(권역),True,False,13715,4967
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,East,영남권(권역),True,False,14598,5165
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,Tot,전국(전체),False,True,14227,13716
20190101,20190130,QW,3,2,,전체,,전체,Y,Y,West,호남권(권역),True,False,14404,397
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0202,부경축공,False,False,9667,1367
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0302,협신식품,False,False,9353,1847
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0320,도드람,False,False,10329,975
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0323,농협부천,False,False,9909,1150
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0513,농협음성,False,False,10879,1208
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0613,관성,False,False,8777,385
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0714,익산,False,False,10948,35
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0809,농협나주,False,False,10939,247
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,0905,농협고령,False,False,11044,391
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,1005,김해축공,False,False,12230,1066
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,1101,제주축협,False,False,10303,4
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,1201,신흥산업,False,False,11405,208
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,1301,삼성식품,False,False,9019,494
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,Center,Center,False,False,10384,1593
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,City,수도권(권역),True,False,9657,4466
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,East,영남권(권역),True,False,10859,3032
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,Tot,전국(전체),False,True,10189,9377
20190101,20190130,QW,4,3,,전체,,전체,Y,Y,West,호남권(권역),True,False,10941,282
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0202,부경축공,False,False,17885,1289
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0302,협신식품,False,False,19361,735
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0320,도드람,False,False,18349,1438
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0323,농협부천,False,False,18244,1364
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0513,농협음성,False,False,19139,3097
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0613,관성,False,False,17264,163
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0714,익산,False,False,17101,26
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0809,농협나주,False,False,17754,290
