date,short_desc,value,unit,reference_period
2024-12-01,"CATTLE, ON FEED - INVENTORY",11982000.0,HEAD,FIRST OF DEC
2024-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1642000.0,HEAD,DEC
2024-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1742000.0,HEAD,DEC
2025-01-01,"CATTLE, ON FEED - INVENTORY",14322800.0,HEAD,FIRST OF JAN
2025-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1822000.0,HEAD,JAN
2025-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1869000.0,HEAD,JAN
2025-02-01,"CATTLE, ON FEED - INVENTORY",11716000.0,HEAD,FIRST OF FEB
2025-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1554000.0,HEAD,FEB
2025-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1633000.0,HEAD,FEB
2025-03-01,"CATTLE, ON FEED - INVENTORY",11577000.0,HEAD,FIRST OF MAR
2025-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1843000.0,HEAD,MAR
2025-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1727000.0,HEAD,MAR
2025-04-01,"CATTLE, ON FEED - INVENTORY",11638000.0,HEAD,FIRST OF APR
2025-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1613000.0,HEAD,APR
2025-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1825000.0,HEAD,APR
2025-05-01,"CATTLE, ON FEED - INVENTORY",11376000.0,HEAD,FIRST OF MAY
2025-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1887000.0,HEAD,MAY
2025-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1758000.0,HEAD,MAY
2025-06-01,"CATTLE, ON FEED - INVENTORY",11443000.0,HEAD,FIRST OF JUN
2025-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1441000.0,HEAD,JUN
2025-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1707000.0,HEAD,JUN
2025-07-01,"CATTLE, ON FEED - INVENTORY",13000000.0,HEAD,FIRST OF JUL
2025-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1598000.0,HEAD,JUL
2025-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1749000.0,HEAD,JUL
2025-08-01,"CATTLE, ON FEED - INVENTORY",10922000.0,HEAD,FIRST OF AUG
2025-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1780000.0,HEAD,AUG
2025-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1571000.0,HEAD,AUG
2025-09-01,"CATTLE, ON FEED - INVENTORY",11080000.0,HEAD,FIRST OF SEP
